Id,Label
2960,Frank Glazer
884,Rupee
1776,Hit Masters
627,Birdman
371,King Harvest
2412,Bob Schneider
2302,Lil' Flip
2581,Céu
81,Phillip Phillips
755,Cake
1697,The Streets
1898,Sigur Rós
315,KRS-One
1794,John Parr
628,The Veronicas
2867,Terri Clark
1875,The Hood Internet
71,Selena Gomez
547,Kool & The Gang
861,Huey Lewis & The News
308,The Black Eyed Peas
2422,Eric B. & Rakim
2476,DAY26
234,Tim McGraw
2883,Jon Secada
2973,King Floyd
59,Rihanna
835,Rick Ross
2941,Xzibit
245,Coconut Records
2569,Josh Ritter
530,The Offspring
279,Jonathan Edwards
608,Hinder
636,Damien Rice
2549,A-Trak
923,Big Pun
2391,Eric Roberson
849,Depeche Mode
1608,Wake Up Tones Alarm Clock Sounds
2267,The Gaslight Anthem
2900,Carolina Chocolate Drops
1371,Electric Light Orchestra
1222,Electric Guest
1873,Everlast
1354,Eazy-E
1489,Jack Jezzro
1818,Duncan Sheik
2233,Eddie Murphy
1352,Bentley Beamer Benz
1042,Bob Dylan
1845,"Hank Williams, Jr."
487,Ms. Lauryn Hill
51,Janet Jackson
1923,The Vaccines
2932,Swag Skool
2968,Mykko Montana
1360,Lighter Shade Of Brown
2260,Frou Frou
2262,InContext
739,The Liverpool Gents
1175,Azealia Banks
2552,Dara Maclean
415,Andy Grammer
2809,Kajagoogoo
239,Arctic Monkeys
336,Travie McCoy
2844,The Hollywood LA Soundtrack Orchestra
617,Lifehouse
492,Marilyn Manson
1695,Jordan Hull
401,Outasight
972,Landon Pigg
2025,Mike Bleed Da BlockStarr
1184,Live
605,Panic! At The Disco
1634,Cut Copy
737,Vince Guaraldi Trio
2872,The Pack
1062,The Karaoke Channel
1871,When In Rome
2413,Kem
2961,John Williams
1978,Billy Preston
1126,Patrick Sweany
2145,Eri2
7,Kelis
1511,Pusha T
219,Uncle Kracker
1161,Loverboy
872,Sandoval
11,Journey
1652,Maino featuring T-Pain
2472,Joe
546,Hannah Montana
1994,Lady Aqua
2278,Maxine Nightingale
503,Sir Mix-A-Lot
890,Gunther & the Sunshine Girls
1852,The Moody Blues
1763,Band Of Skulls
1649,The Pointer Sisters
1350,Yelawolf
452,Wolf Gang
2597,Stacey Q
1495,A Firm Handshake
921,Bell Biv DeVoe
2058,Three 6 Mafia
966,Mohombi
1093,Chip-man & The Buckwheat Boyz
67,Grouplove
2908,The Hollywood Strings
1,Karmin
436,Enrique Iglesias
1404,Wallpaper.
2382,SoulDecision
806,DJ Crazy J Rodriguez
879,NERVO
392,J-Kwon
1468,SR-71
1981,James Horner
1064,Catherine Zeta-Jones
2695,Kings of Convenience
1858,Sarah McLeod
1159,A Flock Of Seagulls
146,Sammy Adams
2218,Yaz
1728,Technotronic
2926,DJ Robin Hood
1753,Lexcouper
873,Rock Mafia
716,Asia
388,Santana
1573,Jim Jones
528,Stars
2617,Fever Ray
2777,Grandmaster Flash & The Furious Five feat. Melle Mel & Duke Bootee
2897,Twin Shadow
1308,The High Kings
1190,John Denver
871,Vicente Garcia
1123,Collin Raye
1069,Pretenders
1235,Andy Williams
181,Elton John
2143,Charlie Wilson
1131,Big & Rich
624,The Very Best
892,CHVRCHES
402,Sixpence None The Richer
1436,Blondfire
52,Blackstreet
2701,Eat Sleep Attack
2095,Nause
2193,Maps & Atlases
1017,Emblem3
681,NERO
712,Salt-N-Pepa
34,Snoop Dogg
2839,Wreckx-N-Effect
955,Atmosphere
136,Afroman
1537,Pantera
1730,Black Box
2585,Blue Man Group
2131,Nicky Manaj
2012,Third Party
866,MC Frontalot
629,The Ting Tings
1219,Morgan Page
878,Hardwell
2402,O-Zone
176,The Heavy
1248,Deborah Cox
2652,David Lee Murphy
49,Britney Spears
992,L.O.C
120,Cyndi Lauper
886,Alice Cooper
461,Macy Gray
2888,The Mountain Goats
974,Keyshia Cole
2915,Bear In Heaven
1938,SWV
773,Coolio
2485,Hunx & His Punx
887,The Lovin' Spoonful
375,The Isley Brothers
2537,Prince Royce
2445,Paul Rudd
1604,BertycoX
2527,Samuel E. Wright
2300,Rasheeda
2727,INTL
497,Dido
335,CeeLo Green
91,Trinidad James
2980,Anne Murray
